,urlDrugName,rating,effectiveness,condition,sideEffects
753,clindamycin,1,Considerably Effective,staphf infection,Extremely Severe Side Effects
754,elavil,4,Moderately Effective,"insomnia, migraines",Moderate Side Effects
755,minocycline,7,Considerably Effective,acne,No Side Effects
756,lexapro,1,Ineffective,clinical depression,Extremely Severe Side Effects
757,citalopram,7,Considerably Effective,depression,Moderate Side Effects
758,metformin,8,Highly Effective,diabetes,Mild Side Effects
759,zyrtec,10,Highly Effective,allergic rhinitis,No Side Effects
760,prednisone,8,Considerably Effective,rash on neck that spread to face,Mild Side Effects
761,lamictal,8,Considerably Effective,bi-polar 2,No Side Effects
762,oxycontin,10,Highly Effective,acute and long term chronic and severe back pain,Mild Side Effects
763,seasonique,5,Moderately Effective,i took seasonique just  to prevent pregnancy,Moderate Side Effects
764,niaspan,9,Considerably Effective,reduce cholesterol,No Side Effects
765,ambien,8,Considerably Effective,insomnia,Mild Side Effects
766,requip,10,Highly Effective,rls,Moderate Side Effects
767,avita,8,Considerably Effective,acne,Mild Side Effects
768,paxil,10,Highly Effective,depression/anxiety,No Side Effects
769,lexapro,1,Ineffective,anxiety depression,Extremely Severe Side Effects
770,effexor-xr,6,Moderately Effective,chronic depression,Moderate Side Effects
771,prozac,9,Considerably Effective,depression,Mild Side Effects
772,effexor,6,Highly Effective,depression,Mild Side Effects
773,vyvanse,4,Moderately Effective,"sggression, hyperactivity",Severe Side Effects
774,adipex-p,7,Considerably Effective,obesity,Mild Side Effects
775,amoxil,9,Highly Effective,strep throat,Mild Side Effects
776,tazorac,9,Considerably Effective,acne,Mild Side Effects
777,lipitor,6,Marginally Effective,high cholesterol,Moderate Side Effects
778,biaxin,8,Considerably Effective,strep throat,Moderate Side Effects
779,geodon,10,Highly Effective,bi-polar disorder,Mild Side Effects
780,catapres,8,Marginally Effective,high blood pressure,Mild Side Effects
781,premarin-vaginal,10,Highly Effective,vaginal dryness/bladder inflamation-irritations,No Side Effects
782,diazepam,8,Highly Effective,airplane flight anxiety,Mild Side Effects
783,zmax,10,Highly Effective,cold / flu,No Side Effects
784,nasonex,10,Considerably Effective,allergies,No Side Effects
785,hydrochlorothiazide,6,Considerably Effective,high blood pressure,Mild Side Effects
786,tramadol,3,Highly Effective,pain relief (glenohumeral instability correction),Severe Side Effects
787,niacor,10,Highly Effective,hypercholesterolemia w/ low ldl,Mild Side Effects
788,zomig,9,Considerably Effective,migraines-hormonal,Moderate Side Effects
789,ortho-tri-cyclen,10,Highly Effective,birth control,No Side Effects
790,fosamax-plus-d,10,Highly Effective,osteoporosis,No Side Effects
791,effexor,9,Highly Effective,depression,Mild Side Effects
792,cymbalta,4,Moderately Effective,depression,Moderate Side Effects
793,noroxin,1,Highly Effective,prostatitis,Extremely Severe Side Effects
794,neurontin,9,Considerably Effective,sleep disorder,No Side Effects
795,adipex-p,9,Considerably Effective,"overweight, self confidence",Mild Side Effects
796,meridia,10,Highly Effective,"overeating, weight gain",Mild Side Effects
797,prozac,9,Highly Effective,depression,Moderate Side Effects
798,hytrin,10,Highly Effective,high blood presure,No Side Effects
799,asacol,3,Marginally Effective,ulcerative colitis,Moderate Side Effects
800,alendronate,3,Marginally Effective,bone density tests showed early osteo.,Moderate Side Effects
801,synthroid,8,Moderately Effective,hypothyroidism,Mild Side Effects
802,lamotrigine,10,Highly Effective,bipolar 2-extreme moods swings,Mild Side Effects
803,zoloft,8,Considerably Effective,depression,No Side Effects
804,imodium,8,Considerably Effective,diarrhea,No Side Effects
805,premarin,10,Highly Effective,hormone replacement,No Side Effects
806,lamisil,5,Considerably Effective,yeast,No Side Effects
807,flonase,8,Highly Effective,nasal polyps,Mild Side Effects
808,botox,10,Highly Effective,aging,No Side Effects
809,prinivil,1,Moderately Effective,high blood pressure,Severe Side Effects
810,chantix,9,Considerably Effective,smoking,Mild Side Effects
811,tazorac,9,Considerably Effective,"acne, photoaging",Mild Side Effects
812,botox,10,Highly Effective,migraines,Mild Side Effects
813,albuterol,8,Highly Effective,asthma,Mild Side Effects
814,enbrel,9,Highly Effective,ankylosing spondylitis,No Side Effects
815,neurontin,9,Highly Effective,spinal injury,Moderate Side Effects
816,sarafem,10,Highly Effective,depression,Mild Side Effects
817,levoxyl,4,Marginally Effective,hypothyroidism,Severe Side Effects
818,singulair,1,Considerably Effective,asthma - repeated chest infections,Severe Side Effects
819,dilaudid,1,Highly Effective,headaches,Extremely Severe Side Effects
820,flexeril,9,Highly Effective,headaches,Moderate Side Effects
821,seroquel,9,Highly Effective,insomnia,Mild Side Effects
822,xanax,8,Highly Effective,sleeping aid,Moderate Side Effects
823,klonopin,1,Ineffective,panic disorder,Severe Side Effects
824,prinivil,7,Considerably Effective,high blood pressure,Mild Side Effects
825,sarafem,8,Highly Effective,depression,Mild Side Effects
826,effexor-xr,7,Considerably Effective,depression,Severe Side Effects
827,effexor,10,Highly Effective,recurrent depression,No Side Effects
828,malarone,5,Highly Effective,anti malarial,Moderate Side Effects
829,tobramycin,9,Highly Effective,pink eye,No Side Effects
830,tetracycline,2,Moderately Effective,acne,Moderate Side Effects
831,ecotrin,10,Considerably Effective,headache,No Side Effects
832,claritin,2,Marginally Effective,seasonal allergies,Moderate Side Effects
833,tramadol,3,Moderately Effective,inflamation at the femoral nerve,Moderate Side Effects
834,chantix,1,Considerably Effective,quit smoking,Moderate Side Effects
835,spironolactone,8,Considerably Effective,m to f transformation,Mild Side Effects
836,minocycline,8,Highly Effective,acne,Mild Side Effects
837,avodart,7,Considerably Effective,hair loss,Mild Side Effects
838,effexor-xr,8,Considerably Effective,anxiety and depression,Moderate Side Effects
839,remicade,10,Highly Effective,ulcerative colitis,Severe Side Effects
840,retin-a,4,Moderately Effective,flat warts,Moderate Side Effects
841,cialis,9,Considerably Effective,ed,Mild Side Effects
842,evista,9,Considerably Effective,ostheoporosis prevention,No Side Effects
843,yasmin,10,Highly Effective,"cramps, birth control",Mild Side Effects
844,accutane,9,Highly Effective,acne,Moderate Side Effects
845,seroquel,6,Moderately Effective,"ptsd, bi-polar, anxiety",Severe Side Effects
846,zithromax,10,Highly Effective,cystic fibrosis,No Side Effects
847,angeliq,9,Considerably Effective,"menopausal symptoms - hot flashes, sleep disturban",No Side Effects
848,elavil,9,Highly Effective,neck pain,Mild Side Effects
849,effexor-xr,8,Considerably Effective,depression,Moderate Side Effects
850,nasonex,10,Highly Effective,sinus problems,Mild Side Effects
851,yasmin,1,Highly Effective,controceptive; help with pmsd,Extremely Severe Side Effects
852,coumadin,9,Highly Effective,dvt,Mild Side Effects
853,lamisil,1,Marginally Effective,toenail fungus,No Side Effects
854,vagifem,1,Highly Effective,vaginal dryness and urinary tract infections,Severe Side Effects
855,biaxin,1,Ineffective,inner ear infection,Severe Side Effects
856,valtrex,9,Considerably Effective,cold sores,Mild Side Effects
857,ortho-tri-cyclen-lo,9,Highly Effective,contraception,Mild Side Effects
858,voltaren,9,Highly Effective,arthritis,Mild Side Effects
859,diclofenac,9,Considerably Effective,muscular pain - arm,No Side Effects
860,accutane,5,Highly Effective,cystic acne,Extremely Severe Side Effects
861,albuterol,8,Considerably Effective,asthma,No Side Effects
862,minocycline,3,Marginally Effective,acne,Severe Side Effects
863,hydrochlorothiazide,9,Moderately Effective,fluid retention increased bp,No Side Effects
864,actonel,6,Moderately Effective,loss of bone mass,Mild Side Effects
865,wellbutrin-xl,9,Highly Effective,depression,Moderate Side Effects
866,armour-thyroid,8,Moderately Effective,hypothyroid,No Side Effects
867,depo-provera,10,Highly Effective,pregnancy prevention,Moderate Side Effects
868,sotret,8,Highly Effective,acne,Moderate Side Effects
869,elocon,10,Highly Effective,eczema,No Side Effects
870,flexeril,7,Moderately Effective,muscle stiffness,Mild Side Effects
871,atenolol,9,Considerably Effective,supra ventricular tachycardia,Mild Side Effects
872,diclofenac,9,Highly Effective,mild arthritis in knees,No Side Effects
873,ambien,8,Highly Effective,insomnia,Mild Side Effects
874,chantix,8,Highly Effective,quit smoking,Severe Side Effects
875,synthroid,10,Highly Effective,hypothyroidism,No Side Effects
876,diclofenac,2,Moderately Effective,knee pain/inflamation,Moderate Side Effects
877,accutane,9,Highly Effective,acne,Mild Side Effects
878,differin,7,Moderately Effective,acne,Mild Side Effects
879,ultram,1,Highly Effective,headaches,Mild Side Effects
880,soma,2,Ineffective,broken ribs,Moderate Side Effects
881,doxycycline,8,Highly Effective,acne,Mild Side Effects
882,effexor,1,Ineffective,depression,Extremely Severe Side Effects
883,keflex,1,Marginally Effective,severe upper respitory tract infection,Severe Side Effects
884,zocor,1,Ineffective,high cholesterol,Extremely Severe Side Effects
885,singulair,10,Highly Effective,asthma,No Side Effects
886,prozac,8,Highly Effective,"anxiety, hopelessness",Mild Side Effects
887,differin,7,Moderately Effective,acne,No Side Effects
888,aromasin,8,Highly Effective,eostrogen-positive breast cancer,Moderate Side Effects
889,premarin,1,Moderately Effective,hrt hysterectomy,Extremely Severe Side Effects
890,accutane,9,Highly Effective,acne,Moderate Side Effects
891,topamax,6,Moderately Effective,migraine prevention,Mild Side Effects
892,vyvanse,9,Highly Effective,refractory depression,Moderate Side Effects
893,seasonale,7,Considerably Effective,birth control,Mild Side Effects
894,lortab,7,Moderately Effective,"sever back pain,",Moderate Side Effects
895,acyclovir,10,Highly Effective,cold sore,No Side Effects
896,metformin,10,Highly Effective,diabetese,No Side Effects
897,augmentin,10,Highly Effective,subungal hematoma,No Side Effects
898,metrogel,7,Moderately Effective,rosacea,No Side Effects
899,norvasc,6,Considerably Effective,hypertension,Moderate Side Effects
900,tri-luma,3,Ineffective,melasma,Severe Side Effects
901,estrasorb,10,Highly Effective,menopause,No Side Effects
902,clonazepam,8,Highly Effective,anxiety,Moderate Side Effects
903,topamax,10,Considerably Effective,migraine prevention,Mild Side Effects
904,zyban,4,Highly Effective,smoking,Severe Side Effects
905,elavil,9,Considerably Effective,sleep,Mild Side Effects
906,ortho-tri-cyclen,7,Highly Effective,prevent pregnancy,Mild Side Effects
907,valium,9,Considerably Effective,anxiety,Mild Side Effects
908,wellbutrin-sr,10,Highly Effective,bi-polar,Mild Side Effects
909,actonel,1,Ineffective,prevent osteoporose,Extremely Severe Side Effects
910,nuvaring,9,Highly Effective,prevent pregnancy,Mild Side Effects
911,topamax,7,Considerably Effective,migraines,Moderate Side Effects
912,chantix,10,Highly Effective,smoking cessation,Mild Side Effects
913,metronidazole,1,Marginally Effective,diarrhea,Extremely Severe Side Effects
914,citalopram,10,Highly Effective,"anxiety, panic attack",Mild Side Effects
915,propecia,7,Highly Effective,thinning hair,Moderate Side Effects
916,botox,1,Highly Effective,forehead frown lines,Severe Side Effects
917,zyrtec-d,9,Highly Effective,allergies,Mild Side Effects
918,lunesta,9,Highly Effective,sleeping problems,Moderate Side Effects
919,symbicort,2,Moderately Effective,asthma/copd,Severe Side Effects
920,keppra,8,Considerably Effective,seizure disorder,Mild Side Effects
921,tussionex,8,Considerably Effective,respiratory infection,Mild Side Effects
922,concerta,9,Considerably Effective,add,Mild Side Effects
923,retin-a-micro,8,Considerably Effective,acne - blackheads and acne scars,Moderate Side Effects
924,qvar,10,Highly Effective,asthma,No Side Effects
925,flexeril,8,Considerably Effective,muscle spasms (upper back/neck),Moderate Side Effects
926,climara,10,Highly Effective,perimenopause,No Side Effects
927,humira,5,Considerably Effective,"ra, sj�gren syndrome",Severe Side Effects
928,tri-luma,1,Ineffective,melasma,Extremely Severe Side Effects
929,proquin-xr,3,Considerably Effective,pneumonia,Moderate Side Effects
930,adipex-p,9,Highly Effective,overweight,Mild Side Effects
931,imitrex,10,Highly Effective,migraines,No Side Effects
932,prempro,6,Considerably Effective,"menopausal symptoms, especially night sweats",Moderate Side Effects
933,adderall,10,Highly Effective,add,Mild Side Effects
934,prozac,7,Considerably Effective,depression,No Side Effects
935,lipitor,4,Marginally Effective,high c,Severe Side Effects
936,effexor,8,Considerably Effective,depression,Mild Side Effects
937,nolvadex,3,Highly Effective,breast cancer,Severe Side Effects
938,levora,7,Highly Effective,contraception,Moderate Side Effects
939,plendil,9,Moderately Effective,hypertention,Mild Side Effects
940,ultram,5,Moderately Effective,back pain,Moderate Side Effects
941,naprosyn,8,Moderately Effective,arthritis,No Side Effects
942,tazorac,9,Highly Effective,age spots on hand,Moderate Side Effects
943,cymbalta,1,Ineffective,depression pain,Extremely Severe Side Effects
944,halcion,3,Ineffective,insomnia,No Side Effects
945,effexor-xr,3,Marginally Effective,depression,Severe Side Effects
946,sumatriptan,9,Highly Effective,migraine,Mild Side Effects
947,ranitidine,9,Highly Effective,gastro esophageal reflux disease (gerd),No Side Effects
948,nexium,10,Highly Effective,gerd (gastroesophogeal reflux disease),No Side Effects
949,cleocin,2,Considerably Effective,infection in mandible,Extremely Severe Side Effects
950,ativan,5,Highly Effective,inability to fall asleep,Mild Side Effects
951,sonata,8,Highly Effective,insomnia,No Side Effects
952,aldactone,10,Highly Effective,acne,Mild Side Effects
953,acyclovir,10,Considerably Effective,cold sores,Mild Side Effects
954,nortriptyline,9,Highly Effective,severe depression,Mild Side Effects
955,cialis,10,Highly Effective,erectile dysfunction,Mild Side Effects
956,miralax,8,Considerably Effective,irritable bowel syndrome,No Side Effects
957,clarinex,9,Highly Effective,allergy induced asthma,No Side Effects
958,augmentin,4,Considerably Effective,sinusitis,Severe Side Effects
959,citalopram,10,Highly Effective,depression,Mild Side Effects
960,effexor-xr,7,Moderately Effective,depression,Mild Side Effects
961,ambien,4,Considerably Effective,sleeplessness,Severe Side Effects
962,lamictal,8,Moderately Effective,bi-polar,Mild Side Effects
963,lipitor,7,Considerably Effective,high cholesterol,Moderate Side Effects
964,topamax,9,Considerably Effective,appetite control,Mild Side Effects
965,albuterol,10,Highly Effective,bronchitis,No Side Effects
966,doxycycline,5,Considerably Effective,std clamydia,Severe Side Effects
967,wellbutrin-xl,10,Highly Effective,anti-depressant,Mild Side Effects
968,wellbutrin,8,Considerably Effective,depression,Mild Side Effects
969,acyclovir,9,Highly Effective,cold sores/fever blisters,Mild Side Effects
970,minoxidil,9,Highly Effective,hair loss,Mild Side Effects
971,retin-a,7,Moderately Effective,hyperpigmentation,Severe Side Effects
972,neurontin,1,Ineffective,genitofemoral nerve damage,Severe Side Effects
973,sotret,10,Highly Effective,acne,Moderate Side Effects
974,evoclin,5,Moderately Effective,acne,No Side Effects
975,retin-a,8,Considerably Effective,skin correction,Moderate Side Effects
976,zegerid,1,Highly Effective,"acid reflux, gerd",Extremely Severe Side Effects
977,sulfasalazine,8,Considerably Effective,inflammatory arthritis,Mild Side Effects
978,nolvadex,5,Highly Effective,breast cancer,Moderate Side Effects
979,klaron,10,Highly Effective,acne,No Side Effects
980,accutane,10,Highly Effective,acne,Mild Side Effects
981,levoxyl,10,Highly Effective,low thyroid production,No Side Effects
982,avage,8,Highly Effective,to achieve a smoother skin surface,Mild Side Effects
983,sarafem,3,Ineffective,anxiety,Moderate Side Effects
984,remicade,4,Highly Effective,rhuematoid arthritis,Severe Side Effects
985,prevacid,7,Considerably Effective,heart burn,No Side Effects
986,propecia,7,Moderately Effective,male pattern baldness,Mild Side Effects
987,byetta,8,Highly Effective,type 2 diabetes,Mild Side Effects
988,retin-a-micro,10,Highly Effective,sun damage to face,Moderate Side Effects
989,panixine-disperdose,10,Highly Effective,skin infection,No Side Effects
990,ultracet,10,Highly Effective,fibromyalgia,No Side Effects
991,minocycline,3,Marginally Effective,acne,Mild Side Effects
992,advair-hfa,7,Moderately Effective,asthma,No Side Effects
993,levoxyl,1,Ineffective,hypothyroidism,Extremely Severe Side Effects
994,doxycycline,9,Highly Effective,cat bite,Mild Side Effects
995,chantix,1,Considerably Effective,smoking cessation,Severe Side Effects
996,metrogel,8,Considerably Effective,roseasa,No Side Effects
997,lexapro,5,Moderately Effective,depression,Severe Side Effects
998,vytorin,10,Highly Effective,cholesterol,No Side Effects
999,asacol,1,Ineffective,ulcerative colitis,Extremely Severe Side Effects
1000,pristiq,10,Highly Effective,add & anxiety,No Side Effects
1001,effexor,7,Moderately Effective,depression,Moderate Side Effects
1002,flexeril,8,Considerably Effective,tension in jaw and bruxism (grinding of teeth),Mild Side Effects
1003,sular,10,Highly Effective,high blood pressure,No Side Effects
1004,effexor-xr,2,Highly Effective,"depression, axiety",Moderate Side Effects
1005,ambien,9,Highly Effective,insomnia,No Side Effects
1006,citalopram,8,Considerably Effective,"anxiety, ocd",Severe Side Effects
1007,amoxil,5,Marginally Effective,tonsilitis,No Side Effects
1008,differin,9,Considerably Effective,acne,Moderate Side Effects
1009,panixine-disperdose,10,Highly Effective,skin infection,Mild Side Effects
1010,doryx,6,Considerably Effective,acne,Moderate Side Effects
1011,buspar,9,Highly Effective,gad - generalised anxiety disorder.,Mild Side Effects
1012,fosamax,10,Highly Effective,osteopenia,No Side Effects
1013,chantix,7,Considerably Effective,quitting smoking,Extremely Severe Side Effects
1014,ativan,6,Highly Effective,anxiety,Severe Side Effects
1015,avage,9,Considerably Effective,wrinkles,Mild Side Effects
1016,mevacor,2,Marginally Effective,originally brain lesions then lower cholesterol,Extremely Severe Side Effects
1017,seroquel,1,Marginally Effective,insomnia,Extremely Severe Side Effects
1018,risperdal,1,Ineffective,schizophrenia,Extremely Severe Side Effects
1019,effexor,10,Highly Effective,anxiety/depression,Mild Side Effects
1020,dextrostat,10,Highly Effective,add,Mild Side Effects
1021,nexium,10,Highly Effective,gerd/barret's esophogus,Mild Side Effects
1022,zomig,4,Moderately Effective,migraine,Severe Side Effects
1023,triaz,7,Moderately Effective,acne,Mild Side Effects
1024,wellbutrin-sr,9,Highly Effective,depression,Mild Side Effects
1025,lyrica,6,Highly Effective,fibromyalgia,Moderate Side Effects
1026,vicodin,10,Highly Effective,post surgery stomach pain,No Side Effects
1027,strattera,3,Marginally Effective,adult add,Moderate Side Effects
1028,celexa,8,Highly Effective,depression,Moderate Side Effects
1029,climara,10,Highly Effective,surgical menopause,No Side Effects
1030,diazepam,5,Highly Effective,"mood swings, felt by- polar",Moderate Side Effects
1031,neurontin,5,Highly Effective,"degenerative disc disorder, spinal stenosis l1-s1",Severe Side Effects
1032,fosamax,9,Considerably Effective,osteoporsis,Mild Side Effects
1033,zoloft,9,Highly Effective,depression,No Side Effects
1034,lorazepam,8,Considerably Effective,mild sedative,No Side Effects
1035,voltaren,3,Considerably Effective,"tooth pain, root canal procedure",Severe Side Effects
1036,elavil,9,Highly Effective,tension headaches,Mild Side Effects
1037,estratest,10,Highly Effective,extreme hot flashes,No Side Effects
1038,tazorac,5,Moderately Effective,acne,Mild Side Effects
1039,pentasa,10,Highly Effective,crohn's disease,No Side Effects
1040,toradol,3,Considerably Effective,pain relief after surgery,Moderate Side Effects
1041,proquin-xr,1,Highly Effective,u/i,Extremely Severe Side Effects
1042,zyrtec,3,Moderately Effective,sinusitis,Moderate Side Effects
1043,seasonique,8,Considerably Effective,prevention of pregnancy/lighter periods,Extremely Severe Side Effects
1044,amoxil,2,Ineffective,ear infection,Moderate Side Effects
1045,naproxen,3,Marginally Effective,shoulder pain,Severe Side Effects
1046,clarinex,3,Marginally Effective,allergies,No Side Effects
1047,avita,6,Moderately Effective,wrinkles,No Side Effects
1048,vaniqa,8,Considerably Effective,facial,No Side Effects
1049,clonazepam,5,Considerably Effective,"agoraphobia, panic disorder",Mild Side Effects
1050,elavil,10,Highly Effective,chronic headaches,Mild Side Effects
1051,metrogel,4,Considerably Effective,rosacea,Mild Side Effects
1052,lipitor,8,Highly Effective,high cholesterol,Moderate Side Effects
1053,renova,5,Moderately Effective,"prevent aging, improve skin",Moderate Side Effects
1054,citalopram,1,Ineffective,mood,Moderate Side Effects
1055,oxycodone,8,Considerably Effective,pain - chronic panceatitis,Moderate Side Effects
1056,estratest,10,Highly Effective,menopause - hrt,No Side Effects
1057,allegra,6,Moderately Effective,allergy,No Side Effects
1058,singulair,10,Highly Effective,allergies,No Side Effects
1059,femring,1,Highly Effective,hysterectomy,Extremely Severe Side Effects
1060,prozac,1,Ineffective,severe anxiety,Extremely Severe Side Effects
1061,provigil,8,Highly Effective,fatigue,Mild Side Effects
1062,estrace,5,Highly Effective,hysterectomy/menopause,Severe Side Effects
1063,levoxyl,1,Marginally Effective,hypothyroidism,Moderate Side Effects
1064,premarin,10,Highly Effective,hysterectomy,No Side Effects
1065,provigil,9,Highly Effective,narcolepsy,Mild Side Effects
1066,doxycycline,7,Highly Effective,acne,Moderate Side Effects
1067,valtrex,9,Highly Effective,cold sore on side of face,Moderate Side Effects
1068,abilify,3,Marginally Effective,bipolar disorder,Severe Side Effects
1069,oracea,4,Considerably Effective,mild acne,Severe Side Effects
1070,tramadol,9,Considerably Effective,pain,No Side Effects
1071,provigil,7,Considerably Effective,low energy,Mild Side Effects
1072,effexor,8,Highly Effective,anxiety and depression,Moderate Side Effects
1073,zithromax,10,Highly Effective,ear infection,No Side Effects
1074,lamictal,7,Moderately Effective,depression,Mild Side Effects
1075,nexium,10,Highly Effective,gerd,No Side Effects
1076,retin-a,10,Highly Effective,skin aging,Mild Side Effects
1077,metformin,10,Highly Effective,pcos,Severe Side Effects
1078,augmentin,3,Moderately Effective,tonsilitis,No Side Effects
1079,strattera,10,Highly Effective,add,No Side Effects
1080,fexofenadine,10,Considerably Effective,allergies,No Side Effects
1081,avita,7,Considerably Effective,rhytids,Moderate Side Effects
1082,tramadol,10,Considerably Effective,back pain/depression,No Side Effects
1083,prednisone,9,Considerably Effective,chest infection (viral),Mild Side Effects
1084,clindamycin,3,Considerably Effective,throat infection,Severe Side Effects
1085,provigil,9,Considerably Effective,add,Mild Side Effects
1086,synthroid,1,Ineffective,after birth thyroid not working to mormal levelc,No Side Effects
1087,lexapro,9,Highly Effective,depression,Mild Side Effects
1088,levoxyl,10,Highly Effective,hypothyroidism,No Side Effects
1089,noroxin,10,Highly Effective,urinary tract infection,No Side Effects
1090,vyvanse,8,Considerably Effective,adult adhd,Moderate Side Effects
1091,nexium,10,Considerably Effective,acid reflux,No Side Effects
1092,augmentin,3,Ineffective,"excessive coughing, later diagnosed as pneumonia",Severe Side Effects
1093,glucophage,8,Considerably Effective,diabetes,No Side Effects
1094,retin-a-micro,4,Moderately Effective,acne,Moderate Side Effects
1095,neurontin,1,Ineffective,all over and various type pain,Severe Side Effects
1096,methotrexate,6,Moderately Effective,rheumatoid arthritis,Moderate Side Effects
1097,paxil,9,Considerably Effective,depression,No Side Effects
1098,retin-a,10,Highly Effective,extrinsic aging,Severe Side Effects
1099,paxil,10,Highly Effective,"panic attacks, depression",No Side Effects
1100,meridia,7,Considerably Effective,obesity,Moderate Side Effects
1101,lexapro,9,Highly Effective,depression and anxiety,Mild Side Effects
1102,lamictal,2,Moderately Effective,depression,Severe Side Effects
1103,chantix,10,Highly Effective,smoking cessation,Mild Side Effects
1104,byetta,10,Highly Effective,diabetes,Mild Side Effects
1105,zegerid,8,Considerably Effective,acid reflux,No Side Effects
1106,desyrel,7,Considerably Effective,depression,Moderate Side Effects
1107,erythromycin,7,Moderately Effective,acne on my back,Severe Side Effects
1108,propecia,8,Considerably Effective,hair lose,Mild Side Effects
1109,keflex,1,Highly Effective,tooth infection,Severe Side Effects
1110,maxalt,9,Highly Effective,headaches,Mild Side Effects
1111,valtrex,9,Considerably Effective,cold sores,No Side Effects
1112,voltaren,2,Ineffective,chronic back pain,Mild Side Effects
1113,klonopin,8,Considerably Effective,anxiety,Mild Side Effects
1114,wellbutrin-xl,8,Considerably Effective,depression,Mild Side Effects
1115,neurontin,8,Considerably Effective,restless leg syndrome,No Side Effects
1116,nuvaring,5,Highly Effective,birth control,Moderate Side Effects
1117,ambien,9,Highly Effective,insomnia,No Side Effects
1118,darvocet-n,6,Moderately Effective,pain,Mild Side Effects
1119,lorazepam,9,Highly Effective,sleep problems,Mild Side Effects
1120,fexofenadine,8,Considerably Effective,seasonal allergy,No Side Effects
1121,lamictal,9,Highly Effective,bipolar ii,Mild Side Effects
1122,tramadol,9,Highly Effective,abdominal pain,Mild Side Effects
1123,paxil,10,Highly Effective,depression and anxiety,Mild Side Effects
1124,zyprexa,1,Ineffective,bipolar disorder type ii,Moderate Side Effects
1125,propecia,1,Marginally Effective,hair loss,Extremely Severe Side Effects
1126,baclofen,9,Highly Effective,alcohol addiction,Moderate Side Effects
1127,concerta,5,Moderately Effective,adhd,Mild Side Effects
1128,frova,8,Highly Effective,migraine headache,Mild Side Effects
1129,ditropan,1,Moderately Effective,hyperhidrosis,Severe Side Effects
1130,wellbutrin,7,Moderately Effective,depression,Mild Side Effects
1131,tenormin,8,Marginally Effective,hypertension,Mild Side Effects
1132,remicade,5,Moderately Effective,colitis,Severe Side Effects
1133,trazodone,10,Highly Effective,insomnia,No Side Effects
1134,prevacid,9,Highly Effective,gerd/acid reflux,No Side Effects
1135,paxil,10,Highly Effective,depression,Mild Side Effects
1136,ultram,9,Highly Effective,tempromandibular joint dysfunction (tmj),Mild Side Effects
1137,wellbutrin-xl,10,Considerably Effective,depression,Mild Side Effects
1138,allegra-d,8,Considerably Effective,allergies,Mild Side Effects
1139,tri-luma,5,Marginally Effective,hyperpigmentation,Mild Side Effects
1140,metformin,9,Highly Effective,metabolic disorder,Mild Side Effects
1141,panixine-disperdose,9,Moderately Effective,sinus infection,Moderate Side Effects
1142,flonase,10,Highly Effective,allergies,No Side Effects
1143,tenormin,10,Highly Effective,high blood pressure,No Side Effects
1144,ambien,10,Highly Effective,insomnia,No Side Effects
1145,naltrexone,10,Highly Effective,crohn's,No Side Effects
1146,prinivil,2,Highly Effective,high blood pressure,Moderate Side Effects
1147,coumadin,5,Highly Effective,blood clots,Mild Side Effects
1148,claritin,8,Highly Effective,"irritated and sore throat,nose,eyes and sneezing.",Severe Side Effects
1149,ambien,3,Moderately Effective,insomnia,Severe Side Effects
1150,zegerid,6,Considerably Effective,reflux,Moderate Side Effects
1151,symbyax,2,Ineffective,depression,Severe Side Effects
1152,xyrem,9,Highly Effective,narcolepsy,Moderate Side Effects
1153,lamictal,10,Highly Effective,bipolar disorder,Mild Side Effects
1154,ketoconazole,8,Considerably Effective,ringworm/pityriasis,Mild Side Effects
1155,nexium,9,Highly Effective,acid reflux,No Side Effects
1156,levoxyl,10,Highly Effective,hypothyroidism,No Side Effects
1157,selegiline,8,Considerably Effective,cognitive enhancement,Mild Side Effects
1158,nexium,8,Considerably Effective,gerd,No Side Effects
1159,cosopt,9,Considerably Effective,high interoccular pressure,Mild Side Effects
1160,zovirax,7,Considerably Effective,herpes,Moderate Side Effects
1161,retin-a,8,Highly Effective,acne and sun damage,Mild Side Effects
1162,arava,9,Highly Effective,rheumatoid arthritis,Mild Side Effects
1163,lamisil,8,Highly Effective,toenail fungus,Moderate Side Effects
1164,tamiflu,1,Marginally Effective,i was in a risk group - frontline pharmacist,Severe Side Effects
1165,differin,5,Marginally Effective,acne,Moderate Side Effects
1166,celexa,1,Ineffective,depression,Severe Side Effects
1167,strattera,3,Marginally Effective,adhd,Severe Side Effects
1168,protopic,1,Ineffective,undiagnosed,Extremely Severe Side Effects
1169,yasmin,3,Ineffective,birth control,Moderate Side Effects
1170,actos,7,Considerably Effective,diabetes,No Side Effects
1171,enbrel,9,Highly Effective,psoriatic arthritis,Moderate Side Effects
1172,vicodin,9,Highly Effective,post -surgery,Moderate Side Effects
1173,zyrtec-d,5,Considerably Effective,hay fever,Moderate Side Effects
1174,lexapro,8,Considerably Effective,anxiety/depression,Moderate Side Effects
1175,citalopram,8,Considerably Effective,depression,Mild Side Effects
1176,zovirax,8,Highly Effective,severe cold sores,No Side Effects
1177,seroquel,9,Highly Effective,bipolar disorder,Mild Side Effects
1178,methotrexate,9,Highly Effective,rhumitoid arthritis,Mild Side Effects
1179,citalopram,10,Highly Effective,depression,Mild Side Effects
1180,methotrexate,7,Highly Effective,psoriasis,Moderate Side Effects
